movie,recommendations
What Makes a Psychopath?,"Pawn Stars, American Murder: The Family Next Door, Talladega Nights: The Ballad of Ricky Bobby, Sweeney Todd: The Demon Barber of Fleet Street, Gehenna: Where Death Lives, Indiana Jones and the Kingdom of the Crystal Skull, Indiana Jones and the Kingdom of the Crystal Skull, Balto, Money for Nothing, Madagascar 3: Europe's Most Wanted"
The Talented Mr. Ripley,"The Box, Homemade, Fake or Fortune?, Star-Crossed, Street Food, Street Food, Stateless, Audible, Age Gap Love, The Guns of Navarone"
We Are Your Friends,"Down to Earth with Zac Efron, Ratched, Ratched, Ratched, Sweet Virginia, The Who Was? Show, Stink!, India: Nature's Wonderland, India: Nature's Wonderland, Ken Jeong: You Complete Me Ho"
Immortal Classic,"Immortal Classic, Secret Affair, Secret Affair, Second 20s, Last, Save Me, Color of Woman, Crash Landing on You, Oh My Ghost, Rampant"
99 Songs,"Shubh Aarambh, Ram Dass Going Home, Diagnosis, Ugly, Puriyatha Puthir, Nadiya Bakes, Learning Songs by Little Baby Bum: Nursery Rhyme Friends, Learning Songs by Little Baby Bum: Nursery Rhyme Friends, Comedy Premium League, Comedy Premium League"
ABCD 2,"Chashme Buddoor, Bewafaa, Abhinetri, Killer Ratings, Welcome 2 Karachi, Mubarakan, Battlefield Recovery, Battlefield Recovery, Ek Main Aur Ekk Tu, Kyo Kii... Main Jhuth Nahin Bolta"
The Beat,"In Laws, In Laws, 23:59, Goodnight DJ 1, Glowing Embers, Paskal, Reply 1997, Who Killed Little Gregory?, Benji: Off the Leash, Diamond Lover"
Chappaquiddick,"Jim Gaffigan: Cinco, Robozuna, Stretch Armstrong: The Breakout, The Princess and the Frog, Kodachrome, Mara, Chris Brown: Welcome to My Life, The Silence, Drunk Parents, Aunty Donna's Big Ol' House of Fun"
Twilight,"The Twilight Saga: Breaking Dawn: Part 2, The Twilight Saga: Eclipse, Homemade, Samson, Into the Wild, Nurse Jackie, Minecraft: Story Mode, Prom Night, Cuckoo, The Good Place"
Rocky IV,"Rocky IV, Ratchet and Clank, Animal Crackers, People Just Do Nothing, My Fuhrer, Once Upon a Time in America, Once Upon a Time in America, NSU German History X, The Longest Yard, Miles Davis: Birth of the Cool"
50M2,"Rise of Empires: Ottoman, Gonul, Gonul, Leyla and Mecnun, Leyla and Mecnun, Kara Bela, Among Family, Resurrection: Ertugrul, Çok Filim Hareketler Bunlar, Black Money Love"
Case Closed,"Case Closed, Cold Case Files Classic, Cold Case Files Classic, Erased, Erased, Indiana Jones and the Last Crusade, Record of Ragnarok, Record of Ragnarok, The Devil Is a Part-Timer!, Thus Spoke Kishibe Rohan"
Robozuna,"Monster High: Ghouls Rule, Monster High: Ghouls Rule, Chappaquiddick, Talladega Nights: The Ballad of Ricky Bobby, Bobby Robson: More Than a Manager, Evan Almighty, The Whole Nine Yards, Magnetic, Love Jones, Rocko's Modern Life: Static Cling"
Heidi bienvenida a casa,"GO! The Unforgettable Party, Food on the Go, Taco Chronicles, The Kingdom, Everything Will Be Fine, The Aerial, White Girl, Super Monsters Furever Friends, Holy Expectations, The Other Side of the Wind"
Learning Songs by Little Baby Bum: Nursery Rhyme Friends,"Learning Songs by Little Baby Bum: Nursery Rhyme Friends, Dead to Me, Learning Time with Timmy, The Box, Superman Returns, Killer Inside: The Mind of Aaron Hernandez, The Road to Love, The Road to Love, Rhyme Time Town, Little Miss Sumo"
Bure Kaam Bura Natija Kyun Bhai Chacha Haan Bhatija,"F.R.E.D.I., Jo Pil-ho: The Dawning Rage, Invader Zim: Enter the Florpus, The Lake House, First Kiss, A Christmas Prince: The Royal Baby, Slay, Phone Swap, Panipat - The Great Betrayal, 6 Years"
Winter Sun,"Winter Sun, Winter Sun, Don't be the First one, Don't be the First one, That Winter the Wind Blows, Immortal Classic, Immortal Classic, The Protector, My Travel Buddy, Abominable Christmas"
Go! Live Your Way,"GO! The Unforgettable Party, Haunted: Latin America, 72 Dangerous Places to Live, The Least Expected Day: Inside the Movistar Team 2019, Just Another Christmas, The Vault, One-Way to Tomorrow, No Time for Shame, Chris Tucker Live, Daniel Sloss: Live Shows"
Creeped Out,"We Are the Champions, Who Killed Little Gregory?, Alex Strangelove, The Devil and Father Amorth, The Devil and Father Amorth, The Devil and Father Amorth, Full Count, There Will Be Blood, The River Wild, Once Upon a Time in America"
Total Drama,"Stoked, Horrid Henry, Inspector Gadget, Inspector Gadget, Nowhere Boy, Last Tango in Halifax, The Nut Job, The Nut Job, Bromance, The Letter for the King"
LEGO Jurassic World: Legend of Isla Nublar,"Super Monsters Furever Friends, Barbie: A Fairy Secret, Jurassic World Camp Cretaceous, Jurassic World Camp Cretaceous, Jurassic World Camp Cretaceous, Polly Pocket, The Dragon Prince, The Dragon Prince, Camarón Revolution, The Old Thieves: The Legend of Artegios"
Mother Goose Club,"Lovesick, The Rezort, Escape from Planet Earth, Whipped, Whipped, I Am Mother, I Am Mother, MOTHER, Club Friday To Be Continued - The Promise, Club Friday To Be Continued - The Promise"
Nothing to Lose,"Omniscient, Omniscient, The Day I Met El Chapo, Mune: Guardian of the Moon, Rich in Love, Rich in Love, Penny Dreadful, Penny Dreadful, My Dead Ex, The Open House"
Charlotte's Web,"Minecraft: Story Mode, Twice Upon A Time, Twice Upon A Time, The Longest Yard, Monty Don's Italian Gardens, Monty Don's Italian Gardens, How to Change the World, The Texas Chainsaw Massacre, The Texas Chainsaw Massacre, Scorpion King 5: Book of Souls"
My Amanda,"Maria, Rattlesnake, Rattlesnake, Arrested Development, Master of None, Master of None, 5 Star Christmas, The Incident, Ghosts of Sugar Land, Count Me In"
Lola Igna,"Maria, Twinsanity, Twinsanity, The Haunted Hathaways, The Haunted Hathaways, Vientos de agua, Ready to Mingle, Whipped, Whipped, La ley de Herodes"
Go! Go! Cory Carson: Chrissy Takes the Wheel,"A Go! Go! Cory Carson Christmas, Wheels of Fortune, The Unicorn, The Unicorn, How to Change the World, Hoarders, Manhunt, Unchained Fate, Unchained Fate, Unchained Fate"
Bypass Road,"Zubaan, Bhouri, Run, Fida, Shaitan, Shaitan, Barsaat, Barsaat, Truckbhar Swapna, Swami Baba Ramdev: The Untold Story"
The Hummingbird Project,"The Squid and the Whale, Zombieland, War on Everyone, Better Call Saul, Better Call Saul, Better Call Saul, Puss in Boots, Drunk Parents, Kahlil Gibran's The Prophet, Two Lovers and a Bear"
The Game Changers,"The Salvation, 13 Reasons Why: Beyond the Reasons, Whose Vote Counts Explained, The Staircase, Logan's Run, Not a Game, Tracy Morgan: Staying Alive, Johnny Test, The Hunt, Nowhere Boy"
Zero Chill,"Zero Chill, Happy Anniversary, Comedians in Cars Getting Coffee, Jerry Seinfeld: 23 Hours To Kill, Wild Wild Country, The Twilight Saga: Eclipse, 44 Cats, Made in China, Blood Pact, Taylor Tomlinson: Quarter-Life Crisis"
Kilometers and Kilometers,"India: Nature's Wonderland, India: Nature's Wonderland, Game Over (Tamil Version), All Hail King Julien: Exiled, Learning Songs by Little Baby Bum: Nursery Rhyme Friends, Learning Songs by Little Baby Bum: Nursery Rhyme Friends, The Hunt, Thomas & Friends: Marvelous Machinery: A New Arrival, White Girl, Billy Graham: An Extraordinary Journey"
Deadwind,"Locombianos, Wrong Side Raju, Outside In, The Adderall Diaries, Jericho, Jericho, Tinker Bell and the Legend of the NeverBeast, The Lake House, First Kiss, A Christmas Prince: The Royal Baby"
Crime Time,"Luccas Neto em: Acampamento de Férias 2, Taco Chronicles, Sintonia, Sintonia, Crime Diaries: The Candidate, Chilling Adventures of Sabrina, Learning Time with Timmy, A Perfect Crime, A Perfect Crime, No Time for Shame"
Main Hoon Na,"Chamatkar, Chamatkar, Don, Kabhi Alvida Naa Kehna, Dostana, Ek Main Aur Ekk Tu, Lucky: No Time for Love, Chalte Chalte, Chalte Chalte, Darna Mana Hai"
Gatao - The Last Stray,"The Outsiders, The Perfect Match, The Year of Happiness and Love, Love Me or Leave Me, Days We Stared at the Sun, Love @ Seventeen, Revenge of the Green Dragons, Here to Heart, Here to Heart, Heaven Official's Blessing"
Indiana Jones and the Kingdom of the Crystal Skull,"Indiana Jones and the Kingdom of the Crystal Skull, Indiana Jones and the Last Crusade, Pawn Stars, Homemade, Stateless, Charlie's Angels: Full Throttle, Resort to Love, The Crystal Calls Making the Dark Crystal: Age of Resistance, The Crystal Calls Making the Dark Crystal: Age of Resistance, The Talented Mr. Ripley"
The Traffickers,"The Lake House, First Kiss, A Christmas Prince: The Royal Baby, Slay, Phone Swap, Panipat - The Great Betrayal, 6 Years, One-Way to Tomorrow, Midnight Sun, Lucky: No Time for Love"
Organize Isler,"Ali Baba ve 7 Cüceler, Kara Bela, Fatma, I'm Glad I Did, Rise of Empires: Ottoman, Beynelmilel, Among Family, 50M2, Romantik Komedi, Bodyguard"
Wild Wild West,"The Crow, Wild Wild Country, Growing Up Wild, Christmas with the Kranks, The Innocence Files, Liefling, The River Wild, Man vs Wild with Sunny Leone, Man vs Wild with Sunny Leone, Cabins in the Wild with Dick Strawbridge"
Killer Inside: The Mind of Aaron Hernandez,"Inside the Mind of a Serial Killer, The Last Kids on Earth, Tremors 2: Aftershocks, Tremors 2: Aftershocks, Los Herederos, NOVA: Killer Volcanoes, Dino Hunt, Dino Hunt, Inside The Freemasons, Learning Songs by Little Baby Bum: Nursery Rhyme Friends"
Dragons: Race to the Edge,"Dragons: Dawn of the Dragon Racers, Trolls Holiday Special, ParaNorman, All About Nina, The Sinner, Zig & Sharko, Zig & Sharko, Border Security: America's Front Line, The Unicorn, The Unicorn"
Luccas Neto em: Acampamento de Férias 2,"Crime Time, The Birth Reborn 3, Big Bad Beetleborgs, Bromance, Rich in Love, Rich in Love, AlphaGo, Haven, Haven, Anne with an E"
Abhinetri,"Baahubali: The Beginning (English Version), Baahubali: The Beginning (English Version), ABCD 2, Baahubali 2: The Conclusion (Hindi Version), Mersal, Angu Vaikuntapurathu (Malayalam), Neevevaro, Pizza, Jab Harry Met Sejal, Kalakalappu"
Prank Encounters,"Prank Encounters, Stranger Things, Stranger Things, The Lake House, First Kiss, A Christmas Prince: The Royal Baby, Slay, Phone Swap, Panipat - The Great Betrayal, 6 Years"
Mobile Suit Gundam II: Soldiers of Sorrow,"Mobile Suit Gundam UC, Mobile Suit Gundam UC, Naruto the Movie: Ninja Clash in the Land of Snow, Beyblade Burst Evolution, Planet Earth II, Planet Earth II, Planet Earth II, Planet Earth II, Altered Carbon: Resleeved, Altered Carbon: Resleeved"
Oh No! It's an Alien Invasion,"Oh No! It's an Alien Invasion, Oh No! It's an Alien Invasion, Grandmother's Farm Part 2, Grandmother's Farm Part 2, Grandmother's Farm, Bureau of Magical Things, The Natural, Charlie's Colorforms City, Star Trek: Voyager, Hajwala 2: Mysterious Mission"
Elf Pets: Santa’s Reindeer Rescue,"Elf Pets: Santa’s Reindeer Rescue, Santa Clarita Diet, The Good Place, Heavy Rescue: 401, Chris Brown: Welcome to My Life, Father Brown, Father Brown, Hungerford, Brené Brown: The Call to Courage, Bromance"
Balto,"Whitney Cummings: Money Shot, The Princess and the Frog, Kevin James: Never Don't Give Up, Mr. Roosevelt, Chris Tucker Live, The Keepers, What Makes a Psychopath?, Real Steel, Real Steel, The River Wild"
The Dragon Prince,"The Dragon Prince, LEGO Jurassic World: Legend of Isla Nublar, Bugs, Norm of the North: Family Vacation, Barbie: A Fairy Secret, V Wars, Crashing, Jack Whitehall: Travels with My Father, Supergirl, Supergirl"
Tarzan,"Edgar Rice Burroughs' Tarzan and Jane, Thor: Tales of Asgard, Norm of the North: Family Vacation, LEGO Ninjago: Masters of Spinjitzu: Day of the Departed, The Last Kids on Earth, Planet Hulk, Mune: Guardian of the Moon, Little Singham: Legend of Dugabakka, Equestria Girls: Tales of Canterlot High, Equestria Girls: Tales of Canterlot High"
Captain Underpants Epic Choice-o-Rama,"The Epic Tales of Captain Underpants, The Epic Tales of Captain Underpants, The Spooky Tale of Captain Underpants Hack-a-ween, Todd Glass: Stand-Up Special, Trolls: The Beat Goes On!, Bombshell: The Hedy Lamarr Story, Masters of the Universe: Revelation, Get Smart, Disenchantment, 4th Man Out"
Mune: Guardian of the Moon,"LEGO Marvel Super Heroes: Guardians of the Galaxy, Johnny Test, LEGO Marvel Super Heroes: Black Panther, Edgar Rice Burroughs' Tarzan and Jane, Edgar Rice Burroughs' Tarzan and Jane, Thor: Tales of Asgard, Deviant Love, He-Man and the Masters of the Universe, Norm of the North: Family Vacation, Life"
Time to Dance,"Time to Dance, Darna Mana Hai, C Kkompany, Killer Ratings, Chance Pe Dance, Learning Time with Timmy, The World Is Yours, Q Ball, Brotherhood, Brotherhood"
A Second Chance,"She's the One, The Love Affair, The Hows of Us, Vince and Kath and James, Can't Help Falling in Love, The Minions of Midas, Bride For Rent, Grandmother's Farm Part 2, Grandmother's Farm Part 2, Lavell Crawford: Can a Brother Get Some Love?"
Sweet & Sour,"Man to Man, My First First Love, Hospital Playlist, Svaha: The Sixth Finger, Men on a Mission, It's Okay to Not Be Okay, It's Okay to Not Be Okay, The K2, Persona, The Call"
W.E.,"Bright Star, Diana: 7 Days That Shook the World, Kevin James: Never Don't Give Up, Greatest Events of WWII in Colour, Downton Abbey, The Ottoman Lieutenant, Merlin, The Guns of Navarone, James Acaster: Repertoire, The Box"
The Spectacular Now,"Lila & Eve, Sleepover, Miles Davis: Birth of the Cool, All About Nina, Swiss Army Man, Better Call Saul, Better Call Saul, Better Call Saul, Mary Portas: Secret Shopper, Atypical"
You Cannot Hide,"Señora Acero, The Lighthouse of the Orcas, Jaguar, Hache, An Unremarkable Christmas, El Barco, El Cartel 2, Crime Diaries: The Candidate, La ley de Herodes, Los Herederos"
The Great Heist,"Pablo Escobar el patrón del mal, El final del paraíso, Lady la vendedora de rosas, Lady la vendedora de rosas, Sin Senos sí Hay Paraíso, Undercover Law, Ready to Mingle, Orbiter 9, Heist, The Influence"
Middle of Nowhere,"I Will Follow, 23:59, For Colored Girls, Ridley Jones, Amy, Troy, Troy, Containment, Diana: In Her Own Words, 1994"
Millennials,"Edha, Rampant, The Great Battle, One Spring Night, The 8th Night, El Che, It's Okay to Not Be Okay, It's Okay to Not Be Okay, Man to Man, Secret Affair"
Luckee,"Motu Patlu Dino Invasion, Bodyguard, Swami Baba Ramdev: The Untold Story, Cycle, What Are the Odds?, Kota Factory, Th Eena Meena Deeka Chase Comedy Show, My Birthday Song, Drishyam, Motu Patlu in the City of Gold"
Love Is a Story,"Love Is a Story, My Life My Story, My Life My Story, #Selfie, The Last Summer, The Last Summer, The Human Factor: The Untold Story of the Bombay Film Orchestras, Alexis Viera: A Story of Surviving, Alexis Viera: A Story of Surviving, Love on the Spectrum"
Stranger Things,"Stranger Things, Prank Encounters, Prank Encounters, War on Everyone, Life After Beth, The Real Football Factories, Minecraft: Story Mode, Trolls: The Beat Goes On!, Peaky Blinders, Peaky Blinders"
The Incident,"La Viuda Negra, Holy Expectations, Diablero, Club de Cuervos Presents: The Ballad of Hugo Sánchez, Club de Cuervos Presents: The Ballad of Hugo Sánchez, Coco y Raulito: Carrusel de ternura, Edha, My Amanda, Undercover Law, Los Herederos"
EDENS ZERO,"Toradora!, Beyblade Burst Evolution, Godzilla Singular Point, Godzilla Singular Point, Godzilla Singular Point, Fate/Zero, 7SEEDS, Inuyasha the Movie - La spada del dominatore del mondo, Inuyasha the Movie - La spada del dominatore del mondo, The Garden of Words"
Chamatkar,"Chamatkar, Ek Jaan Hain Hum, Main Hoon Na, Chalte Chalte, Chalte Chalte, Trimurti, Anjaam, Ek Main Aur Ekk Tu, Don, Andaz Apna Apna"
Superman Returns,"The Box, Kevin James: Never Don't Give Up, Mutiny on the Bounty, Mutiny on the Bounty, Learning Songs by Little Baby Bum: Nursery Rhyme Friends, Learning Songs by Little Baby Bum: Nursery Rhyme Friends, Dead to Me, House of Cards, House of Cards, Jailbirds"
Planet Hulk,"Thor: Tales of Asgard, DEATH NOTE, DEATH NOTE, Sam Smith: Love Goes - Live at Abbey Road Studios, LEGO Ninjago: Masters of Spinjitzu: Day of the Departed, Our Planet, Our Planet, Edgar Rice Burroughs' Tarzan and Jane, Edgar Rice Burroughs' Tarzan and Jane, Carmen Sandiego"
7SEEDS,"JoJo's Bizarre Adventure, Toradora!, Kuroko's Basketball, Kuroko's Basketball, Sailor Moon Crystal, K-On!, K-On!, The Devil Is a Part-Timer!, Pretty Guardian Sailor Moon Eternal The Movie, Ghost Pain"
Beyblade Burst,"Beyblade Burst Evolution, Attack on Titan, Durarara!!, Durarara!!, Durarara!!, PILI Fantasy: War of Dragons, JoJo's Bizarre Adventure, Love Storm, Love Storm, Love Storm"
The I-Land,"The I-Land, Selfless, Blue Miracle, The Baker and the Beauty, The Baker and the Beauty, The Whole Nine Yards, Superman Returns, The Land of the Enlightened, Michelle Buteau: Welcome to Buteaupia, Ghosts of Sugar Land"
La Leyenda del Diamante,"La Viuda Negra, Martin Matte: La vie la mort...eh la la..!, Alejandro Sanz: What I Was Is What I Am, Romina, La ley de Herodes, Exes Baggage, El final del paraíso, Inuyasha the Movie - La spada del dominatore del mondo, Inuyasha the Movie - La spada del dominatore del mondo, Cable Girls"
Violet Evergarden: Special,"Violet Evergarden: Special, Mobile Suit Gundam UC, Mobile Suit Gundam UC, Attack on Titan, Maria Bamford: The Special Special Special, 7SEEDS, Anohana: The Flower We Saw That Day, K-On!, K-On!, Haikyu!!"
Taj Mahal 1989,"Feels Like Ishq, Feels Like Ishq, Sacred Games, Agent Raghav, Agent Raghav, The Damned Rain, Dhobi Ghat (Mumbai Diaries), Is Love Enough? Sir, Ugly, Mere Papa Hero Hiralal"
Comedy Premium League,"Comedy Premium League, Th Eena Meena Deeka Chase Comedy Show, Searching for Sugar Man, Bathinda Express, Truckbhar Swapna, Bhouri, Bhavesh Joshi Superhero, Joe Mande’s Award-Winning Comedy Special, The Comedy Lineup, Nasha"
Challenger,"Challenger, Madagascar 3: Europe's Most Wanted, Drugs Inc., What's New Scooby-Doo?, What's New Scooby-Doo?, Zig & Sharko, Zig & Sharko, Bates Motel, The New Legends of Monkey, The New Legends of Monkey"
Immigration Nation,"Z Nation, The Lake House, First Kiss, A Christmas Prince: The Royal Baby, Slay, Phone Swap, Panipat - The Great Betrayal, 6 Years, One-Way to Tomorrow, Midnight Sun"
Dark Tourist,"Dark Tourist, The Break with Michelle Wolf, Zion, Love Rosie, Sintonia, Sintonia, Alien Warfare, The Witcher: Nightmare of the Wolf, Trese After Dark, Total Drama"
Ken Burns: The Civil War,"Ken Burns: The Roosevelts: An Intimate History, Prohibition: A Film by Ken Burns and Lynn Novick, Ken Jeong: You Complete Me Ho, Brave New Jersey, Mine 9, House Party 2, Containment, Monty Python's Almost the Truth, Wild Wild Country, Monty Python's Life of Brian"
Aussie Gold Hunters,"The Christmas Project, Hunters of the South Seas, Zion, Surviving Death, Motel Makeover, My Perfect Landing, Bondi Rescue, Lego Friends: Girls on a Mission, Strange Voices, 21 Thunder"
Hometown Cha-Cha-Cha,"Bring It On Ghost, The 8th Night, Men on a Mission, My Sassy Girl, A Korean Odyssey, 100 Days My Prince, The Lady in Dignity, The Age of Shadows, Rugal, Man to Man"
Republic of Doyle,"Republic of Doyle, Empire Games, Final Destination 2, Final Destination 2, Aliens Stole My Body, We Are the Champions, Fronteras, The Society, The Society, The Society"
Aunty Donna's Big Ol' House of Fun,"Weird Wonders of the World, Grandmother's Farm Part 2, Grandmother's Farm Part 2, Grandmother's Farm, The Big Flower Fight, Chappaquiddick, Kodachrome, The Big Catch, Barbie Big City Big Dreams, Hajwala 2: Mysterious Mission"
Planet Earth II,"Planet Earth II, Planet Earth II, Planet Earth II, Our Planet, Our Planet, The Making of Frozen Planet, Breaking Boundaries: The Science Of Our Planet, The Hunt, Nature's Great Events (2009), Nature's Great Events (2009)"
Orbiter 9,"Pablo Escobar el patrón del mal, The Great Heist, Blood Pact, Love for Ten: Generation of Youth, Love for Ten: Generation of Youth, I Am Mother, I Am Mother, Walking Out, Holy Goalie, Holy Camp!"
The Book of Eli,"Genius of the Ancient World, The Netflix Afterparty, Dare to Be Wild, My Dead Ex, Martin Matte: La vie la mort...eh la la..!, The Break, The Space Between Us, The Space Between Us, Forces of Nature, Troy"
The Box,"Superman Returns, The Talented Mr. Ripley, Kevin James: Never Don't Give Up, Dead to Me, Learning Songs by Little Baby Bum: Nursery Rhyme Friends, Learning Songs by Little Baby Bum: Nursery Rhyme Friends, Rotten, Rotten, Merlin, Norm of the North: Family Vacation"
Selfless,"Downton Abbey, Michelle Buteau: Welcome to Buteaupia, Dead to Me, Godless, The Ottoman Lieutenant, The I-Land, The I-Land, Blue Valentine, Bridgerton, Immortals"
The Devil Punisher,"The Devil Punisher, Life Plan A and B, K.O.3an Guo, K.O.3an Guo, Lucky Days, A House of Blocks, A House of Blocks, Bromance, Love Now, Unchained Fate"
Daniel Sloss: Live Shows,"72 Dangerous Places to Live, Alex Strangelove, Edha, Swiss Army Man, Chris Tucker Live, 100% Hotter, Street Food, Street Food, Sam Smith: Love Goes - Live at Abbey Road Studios, We Are the Wave"
Time Trap,"Time Trap, Chris Brown: Welcome to My Life, Ginny & Georgia, Ginny & Georgia, Comedy High School, Here to Heart, Here to Heart, Mia and Me, Mia and Me, We Are the Champions"
Doom,"The Exception, Star Trek, Grandmother's Farm Part 2, Grandmother's Farm Part 2, Grandmother's Farm, Hellboy, Get Smart, White Girl, Hajwala 2: Mysterious Mission, The Repair Shop"
Jurassic World Camp Cretaceous,"Jurassic World Camp Cretaceous, Jurassic World Camp Cretaceous, The Good Place, LEGO Jurassic World: Legend of Isla Nublar, Set It Up, Brave New Jersey, Cleverman, Weird Wonders of the World, Voices of Fire, Marriage or Mortgage"
Love O2O,"Accidentally in Love, Accidentally in Love, Wait My Youth, Pretty Man, Animal World, PILI Fantasy: War of Dragons, King’s War, New Gods: Nezha Reborn, The Rational Life, Monster Run"
Penny Dreadful,"Penny Dreadful, Vexed, Vexed, The Ottoman Lieutenant, The Fear, Red Dawn, American Outlaws, The Salvation, Black Earth Rising, Carrie"
American Horror Story,"Gaga: Five Foot Two, Ratched, Ratched, Ratched, High Flying Bird, High Flying Bird, Move, Walking Out, My Life My Story, My Life My Story"
Spark,"Itaewon Class, A Love So Beautiful, The Great Battle, Record of Youth, My Only Love Song, Cheese in the Trap, Mystic Pop-up Bar, That Winter the Wind Blows, Beating Again, Beating Again"
The Lady in Dignity,"Iris, Rampant, Men on a Mission, Bring It On Ghost, One More Time, Racket Boys, Vroomiz, Persona, The 8th Night, Secret Affair"
The Bride of Habaek,"Oh My Ghost, Hidden Singer, Stranger, Stranger, Beating Again, Beating Again, The K2, My Sassy Girl, Men on a Mission, The Call"
My Only Love Song,"Mad for Each Other, My Shy Boss, Beating Again, Beating Again, A Love So Beautiful, Last, Itaewon Class, Bread Barbershop, A Korean Odyssey, Running Man"
Marianne,"Lost Bullet, School Life, Santa's Apprentice, World's Most Wanted, World's Most Wanted, Everything Will Be Fine, Move, One More Time, Beirut Oh Beirut, Beirut Oh Beirut"
One More Time,"The Lady in Dignity, It's Okay to Not Be Okay, It's Okay to Not Be Okay, Secret Affair, Secret Affair, The 8th Night, Rampant, Persona, My First First Love, Cheese in the Trap"
Nightflyers,"Insidious, Insidious, Sam Smith: Love Goes - Live at Abbey Road Studios, The Forest, The Forest, Vexed, Vexed, A Princess for Christmas, Nowhere Boy, H2O: Just Add Water"
Nothing to Hide,"Nothing to Hide, The Price of Success, Birthmarked, Fred Armisen: Standup For Drummers, Inhuman Resources, Vampires, Hoarders, You Cannot Hide, Marseille, Marseille"
Wrong Side Raju,"Mighty Raju, Made in China, Jab Harry Met Sejal, Amy, Haapus, Senna, Senna, Yaadein, Deadwind, Beiimaan Love"
Puriyatha Puthir,"Oh! Baby (Malayalam), Shaitan, Shaitan, 99 Songs, Kalakalappu, Mersal, Thaandavam, Abhinetri, Dedh Ishqiya, Bathinda Express"
Palio,"The Lake House, First Kiss, A Christmas Prince: The Royal Baby, Slay, Phone Swap, Panipat - The Great Betrayal, 6 Years, One-Way to Tomorrow, Midnight Sun, Lucky: No Time for Love"
Irul,"Single, The Lake House, First Kiss, A Christmas Prince: The Royal Baby, Slay, Phone Swap, Panipat - The Great Betrayal, 6 Years, One-Way to Tomorrow, Midnight Sun"
Under the Riccione Sun,"The Last Runway, The Last Runway, W.E., Flowers, The Tree of Blood, Zig & Sharko, Zig & Sharko, Don't be the First one, Don't be the First one, Challenger"
Hajwala 2: Mysterious Mission,"Grandmother's Farm Part 2, Grandmother's Farm Part 2, Grandmother's Farm, Kalek Shanab, Valentino, The Player, Khawatir, The International Player, Fifty Year Old Teenager, Once Upon a Time"
New Gods: Nezha Reborn,"Love O2O, Accidentally in Love, Accidentally in Love, Wait My Youth, Pretty Man, Animal World, Jailbirds New Orleans, Lion Pride, Lion Pride, My Country: The New Age"
Zubaan,"Bypass Road, Penalty, Searching for Sugar Man, Prince Jai Aur Dumdaar Viru, Milestone, Chhota Bheem Kungfu Dhamaka, Sardar Ka Grandson, The Autopsy of Jane Doe, The Autopsy of Jane Doe, Hazaaron Khwaishein Aisi"
Ankahi Kahaniya,"Dedh Ishqiya, Bareilly Ki Barfi, Made in China, Fida, Run, Beyond All Boundaries, Dostana, Abby Sen, Ghost Stories, Panipat - The Great Betrayal"
The Rezort,"Mother Goose Club, Man with a Plan, OtherLife, Hemlock Grove, Hemlock Grove, Tales From the Hood 2, Tales From the Hood 2, Escape from Planet Earth, Rotten, Rotten"
Terrace House: Aloha State,"Terrace House: Boys & Girls in the City, Colin Quinn: Red State Blue State, Ingress: The Animation, Record of Grancrest War, Japan Sinks: 2020, Japan Sinks: 2020, Temple, The Father Who Moves Mountains, ID-0, The Devil Is a Part-Timer!"
Trial By Media,"Grandmother's Farm Part 2, Grandmother's Farm Part 2, Grandmother's Farm, Good Hair, Styling Hollywood, Hajwala 2: Mysterious Mission, Khawatir, Tokyo Trial, Tokyo Trial, Valentino"
Evil Genius,"Harold Shipman - Driven to Kill, Genius of the Ancient World, 2036 Origin Unknown, 2036 Origin Unknown, Another Life, Rust Valley Restorers, Rust Valley Restorers, Inside the Mind of a Serial Killer, The Break with Michelle Wolf, Austin Powers: The Spy Who Shagged Me"
Fallet,"The Universe: Ancient Mysteries Solved, Diagnosis, Julie & Julia, Mariah Carey's Merriest Christmas, Jericho, Jericho, Money for Nothing, Chef's Table, Kidnapping Stella, What Makes a Psychopath?"
Color of Woman,"My Sassy Girl, Racket Boys, Second 20s, Men on a Mission, Secret Affair, Secret Affair, Beating Again, Beating Again, Record of Youth, Immortal Classic"
Don't be the First one,"Don't be the First one, Monty Don's Italian Gardens, Monty Don's Italian Gardens, Monty Don's French Gardens, Save Me, Rugal, Record of Youth, Love Alarm, Love Alarm, Arthdal Chronicles"
Itaewon Class,"Record of Youth, Bring It On Ghost, Spark, Mystic Pop-up Bar, Law School, Crash Landing on You, Arthdal Chronicles, My Only Love Song, Secret Affair, Secret Affair"
Wild Wild Country,"Growing Up Wild, Wild Wild West, Holiday in the Wild, Man vs Wild with Sunny Leone, Man vs Wild with Sunny Leone, Cabins in the Wild with Dick Strawbridge, Dare to Be Wild, The River Wild, Heaven Official's Blessing, Spice Up"
Chilling Adventures of Sabrina,"The Silence, Neo Yokio, Carriers, The Prince & Me, Not a Game, Life Sentence, Fate: The Winx Saga - The Afterparty, L.A.’s Finest, L.A.’s Finest, Vexed"
1994,"Fear Street Part 3: 1666, Ripper Street, She's the One, 48 Christmas Wishes, The Universe: Ancient Mysteries Solved, The Squid and the Whale, ICarly, P. King Duckling, The Kingdom, LEGO Jurassic World: Legend of Isla Nublar"
